epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.19274049997329712,0.023952240124344826,0.002,0.12301262468099594,0.007626673672348261
1,0.2737914025783539,0.01731611043214798,0.0019997894,0.015115411952137947,0.09556414186954498
2,0.29520004987716675,0.016538141295313835,0.0019995787,0.16344881057739258,0.00791638158261776
3,0.3049107789993286,0.016151059418916702,0.001999368,0.1710774451494217,0.006965857930481434
4,0.318432480096817,0.015798024833202362,0.0019991575,0.010635952465236187,0.16029439866542816
5,0.3239562511444092,0.01545298658311367,0.0019989468,0.2211417853832245,0.006897859741002321
6,0.33503276109695435,0.015138753689825535,0.001998736,0.14071772992610931,0.008235200308263302
7,0.34351614117622375,0.014816398732364178,0.0019985256,0.12571386992931366,0.009325729683041573
8,0.3499011993408203,0.014659963548183441,0.001998315,0.17671653628349304,0.007373056374490261
9,0.35566213726997375,0.014482510276138783,0.0019981046,0.22504152357578278,0.006105074193328619
10,0.36183393001556396,0.014198862947523594,0.001997894,0.25435107946395874,0.005588201805949211
11,0.3697358965873718,0.014030798338353634,0.0019976834,0.23568807542324066,0.006593555677682161
12,0.37288156151771545,0.013881079852581024,0.001997473,0.13794951140880585,0.007775000762194395
13,0.37364742159843445,0.01383547019213438,0.0019972625,0.09017660468816757,0.009297794662415981
14,0.37874835729599,0.013663251884281635,0.0019970522,0.2559584677219391,0.006012267433106899
15,0.3821977376937866,0.013544234447181225,0.0019968417,0.2304651141166687,0.006407509092241526
16,0.38660866022109985,0.013438190333545208,0.0019966313,0.25432899594306946,0.00539336446672678
17,0.39004018902778625,0.013330407440662384,0.001996421,0.2338763326406479,0.006106645800173283
18,0.3936396539211273,0.013257831335067749,0.0019962108,0.12371296435594559,0.007838786579668522
19,0.39136630296707153,0.01320347934961319,0.0019960003,0.22827987372875214,0.006295958533883095
20,0.39876410365104675,0.013160280883312225,0.0019957903,0.13320480287075043,0.008409522473812103
21,0.39912480115890503,0.013026910834014416,0.00199558,0.24382412433624268,0.006376808974891901
22,0.4022325277328491,0.012987212277948856,0.0019953696,0.25433701276779175,0.005532427690923214
23,0.400572270154953,0.012954547069966793,0.0019951593,0.22524236142635345,0.006301790475845337
24,0.4056468605995178,0.012876476161181927,0.001994949,0.2589496076107025,0.005761017091572285
