epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.22809076309204102,0.01905525103211403,0.012156846933066845,0.2820942997932434
1,0.3177031874656677,0.01358801405876875,0.1554298847913742,0.008883648552000523
2,0.3460092842578888,0.012807785533368587,0.19366583228111267,0.007287270855158567
3,0.36291152238845825,0.01232636533677578,0.16440872848033905,0.00780115369707346
4,0.3786657750606537,0.011887067928910255,0.21874094009399414,0.006858413107693195
5,0.3893895447254181,0.011537935584783554,0.15488089621067047,0.007529493886977434
6,0.4041265547275543,0.011184340342879295,0.27072766423225403,0.006594702135771513
7,0.4144764840602875,0.010880338959395885,0.22076046466827393,0.006487065460532904
8,0.4274410903453827,0.010540399700403214,0.23008142411708832,0.007024527061730623
9,0.44751957058906555,0.010112201794981956,0.2468295693397522,0.007645159028470516
