epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.010258734226226807,0.050770003348588943,0.002,0.0054942225106060505,0.013646367937326431
1,0.02470240741968155,0.032851025462150574,0.0019582969,0.005895072594285011,0.012211213819682598
2,0.044844768941402435,0.030119506642222404,0.0019174631,0.02961074747145176,0.013495842926204205
3,0.07925625890493393,0.02680666744709015,0.0018774809,0.006010518874973059,0.016962602734565735
4,0.11307941377162933,0.0248529314994812,0.0018383323,0.037832390516996384,0.01055532693862915
5,0.14259710907936096,0.02303078956902027,0.0018000001,0.02312171831727028,0.012536490336060524
6,0.16175200045108795,0.02233196794986725,0.001762467,0.04906200245022774,0.012690844014286995
7,0.17393332719802856,0.02176596410572529,0.0017257167,0.0743301659822464,0.009770426899194717
8,0.19934889674186707,0.02053472027182579,0.0016897327,0.12074411660432816,0.008814030326902866
9,0.20688490569591522,0.020127732306718826,0.001654499,0.11383254826068878,0.008189687505364418
10,0.22580859065055847,0.0194436926394701,0.00162,0.15034538507461548,0.007849656045436859
11,0.23146864771842957,0.019280442968010902,0.0015862203,0.12621258199214935,0.008887352421879768
12,0.2467256337404251,0.018538298085331917,0.001553145,0.14874503016471863,0.008099921979010105
13,0.2585902810096741,0.018106969073414803,0.0015207593,0.15576618909835815,0.007916881702840328
14,0.2624276876449585,0.01777666248381138,0.001489049,0.16433808207511902,0.007528106682002544
15,0.27808424830436707,0.01736316829919815,0.001458,0.10484448820352554,0.014028736390173435
16,0.27906835079193115,0.017249643802642822,0.0014275982,0.11577107757329941,0.008837548084557056
17,0.2866000533103943,0.01689474657177925,0.0013978304,0.1623077541589737,0.007882055826485157
18,0.29628023505210876,0.016613692045211792,0.0013686835,0.1331631988286972,0.009309307672083378
19,0.29734328389167786,0.016465123742818832,0.0013401441,0.1886114776134491,0.007851350121200085
20,0.3049722909927368,0.01626764051616192,0.0013121997,0.15411143004894257,0.007936093956232071
21,0.31152719259262085,0.016016023233532906,0.0012848384,0.197134867310524,0.007052394561469555
22,0.3069024682044983,0.01614145003259182,0.0012580474,0.19993600249290466,0.006767048966139555
23,0.3148646950721741,0.01588940992951393,0.0012318151,0.17851325869560242,0.0070704082027077675
24,0.3217490017414093,0.015634335577487946,0.0012061296,0.17126873135566711,0.0072247725911438465
25,0.31960606575012207,0.015665020793676376,0.0011809799,0.19177931547164917,0.007306202314794064
26,0.3269137144088745,0.015491013415157795,0.0011563544,0.188310906291008,0.006832894869148731
27,0.32665273547172546,0.015529795549809933,0.0011322426,0.1387314796447754,0.008324729278683662
28,0.3312155306339264,0.015263117849826813,0.0011086335,0.2029900848865509,0.006590523757040501
29,0.3319036066532135,0.015266369096934795,0.0010855168,0.2351156622171402,0.006139296572655439
30,0.33660027384757996,0.014994890429079533,0.001062882,0.2424974888563156,0.006251699756830931
31,0.3371560275554657,0.015025455504655838,0.0010407191,0.1767817884683609,0.006643366534262896
32,0.3433411121368408,0.014920431189239025,0.0010190184,0.1686866730451584,0.00835734698921442
33,0.3448362648487091,0.01483002956956625,0.0009977702,0.22775854170322418,0.006077690981328487
34,0.3447030186653137,0.014815636910498142,0.000976965,0.23009337484836578,0.006140369456261396
35,0.35111191868782043,0.01458712201565504,0.00095659366,0.22770188748836517,0.006520938128232956
36,0.35190144181251526,0.014638694003224373,0.0009366471,0.24703195691108704,0.006038551218807697
37,0.35412997007369995,0.014539314433932304,0.00091711653,0.2245372086763382,0.006543401628732681
38,0.3539140522480011,0.014480800367891788,0.00089799316,0.2146167755126953,0.006602567620575428
39,0.35701265931129456,0.01441346388310194,0.0008792684,0.22524064779281616,0.006374698132276535
